Unnamed: 0,verdi,tidsforskyvning,referansetid
167,3.7,PT0H,2024-06-16 00:00:00+00:00
168,3.1,PT0H,2024-06-17 00:00:00+00:00
169,2.3,PT0H,2024-06-18 00:00:00+00:00
170,1.7,PT0H,2024-06-19 00:00:00+00:00
171,3.7,PT0H,2024-06-20 00:00:00+00:00
172,2.4,PT0H,2024-06-21 00:00:00+00:00
173,2.3,PT0H,2024-06-22 00:00:00+00:00
174,2.1,PT0H,2024-06-23 00:00:00+00:00
175,2.3,PT0H,2024-06-24 00:00:00+00:00
176,3.0,PT0H,2024-06-25 00:00:00+00:00
177,2.1,PT0H,2024-06-26 00:00:00+00:00
178,2.3,PT0H,2024-06-27 00:00:00+00:00
179,4.5,PT0H,2024-06-28 00:00:00+00:00
180,4.9,PT0H,2024-06-29 00:00:00+00:00
181,2.1,PT0H,2024-06-30 00:00:00+00:00
182,2.5,PT0H,2024-07-01 00:00:00+00:00
183,1.6,PT0H,2024-07-02 00:00:00+00:00
184,2.7,PT0H,2024-07-03 00:00:00+00:00
185,2.7,PT0H,2024-07-04 00:00:00+00:00
186,3.2,PT0H,2024-07-05 00:00:00+00:00
187,2.8,PT0H,2024-07-06 00:00:00+00:00
188,3.8,PT0H,2024-07-07 00:00:00+00:00
189,2.8,PT0H,2024-07-08 00:00:00+00:00
190,2.6,PT0H,2024-07-09 00:00:00+00:00
191,3.5,PT0H,2024-07-10 00:00:00+00:00
192,2.6,PT0H,2024-07-11 00:00:00+00:00
193,2.3,PT0H,2024-07-12 00:00:00+00:00
194,2.9,PT0H,2024-07-13 00:00:00+00:00
195,3.1,PT0H,2024-07-14 00:00:00+00:00
196,2.0,PT0H,2024-07-15 00:00:00+00:00
197,1.5,PT0H,2024-07-16 00:00:00+00:00
198,1.6,PT0H,2024-07-17 00:00:00+00:00
199,2.3,PT0H,2024-07-18 00:00:00+00:00
200,2.0,PT0H,2024-07-19 00:00:00+00:00
201,1.7,PT0H,2024-07-20 00:00:00+00:00
202,2.0,PT0H,2024-07-21 00:00:00+00:00
203,1.5,PT0H,2024-07-22 00:00:00+00:00
204,2.1,PT0H,2024-07-23 00:00:00+00:00
205,3.1,PT0H,2024-07-24 00:00:00+00:00
206,2.8,PT0H,2024-07-25 00:00:00+00:00
207,2.5,PT0H,2024-07-26 00:00:00+00:00
208,2.1,PT0H,2024-07-27 00:00:00+00:00
209,2.3,PT0H,2024-07-28 00:00:00+00:00
210,2.1,PT0H,2024-07-29 00:00:00+00:00
211,2.1,PT0H,2024-07-30 00:00:00+00:00
212,2.9,PT0H,2024-07-31 00:00:00+00:00
213,2.4,PT0H,2024-08-01 00:00:00+00:00
214,2.7,PT0H,2024-08-02 00:00:00+00:00
215,2.3,PT0H,2024-08-03 00:00:00+00:00
216,1.5,PT0H,2024-08-04 00:00:00+00:00
217,2.1,PT0H,2024-08-05 00:00:00+00:00
218,2.6,PT0H,2024-08-06 00:00:00+00:00
219,2.4,PT0H,2024-08-07 00:00:00+00:00
220,3.0,PT0H,2024-08-08 00:00:00+00:00
221,2.7,PT0H,2024-08-09 00:00:00+00:00
222,3.9,PT0H,2024-08-10 00:00:00+00:00
223,3.6,PT0H,2024-08-11 00:00:00+00:00
224,1.7,PT0H,2024-08-12 00:00:00+00:00
225,1.7,PT0H,2024-08-13 00:00:00+00:00
226,1.5,PT0H,2024-08-14 00:00:00+00:00
227,4.0,PT0H,2024-08-15 00:00:00+00:00
228,3.0,PT0H,2024-08-16 00:00:00+00:00
229,2.7,PT0H,2024-08-17 00:00:00+00:00
230,3.0,PT0H,2024-08-18 00:00:00+00:00
231,2.8,PT0H,2024-08-19 00:00:00+00:00
232,3.6,PT0H,2024-08-20 00:00:00+00:00
233,2.4,PT0H,2024-08-21 00:00:00+00:00
234,3.0,PT0H,2024-08-22 00:00:00+00:00
235,3.4,PT0H,2024-08-23 00:00:00+00:00
236,2.5,PT0H,2024-08-24 00:00:00+00:00
