verdi,tidsforskyvning,referansetid
1.6,PT6H,2024-04-06T00:00:00.000Z
0.7,PT18H,2024-04-07T00:00:00.000Z
1.7,PT6H,2024-04-07T00:00:00.000Z
2.1,PT18H,2024-04-08T00:00:00.000Z
2.1,PT6H,2024-04-08T00:00:00.000Z
2.8,PT18H,2024-04-09T00:00:00.000Z
0.0,PT6H,2024-04-09T00:00:00.000Z
4.5,PT18H,2024-04-10T00:00:00.000Z
7.2,PT6H,2024-04-10T00:00:00.000Z
5.1,PT18H,2024-04-11T00:00:00.000Z
4.2,PT6H,2024-04-11T00:00:00.000Z
0.0,PT18H,2024-04-12T00:00:00.000Z
1.0,PT6H,2024-04-12T00:00:00.000Z
1.3,PT18H,2024-04-13T00:00:00.000Z
1.3,PT6H,2024-04-13T00:00:00.000Z
5.5,PT18H,2024-04-14T00:00:00.000Z
5.5,PT6H,2024-04-14T00:00:00.000Z
0.0,PT18H,2024-04-15T00:00:00.000Z
0.0,PT6H,2024-04-15T00:00:00.000Z
0.0,PT18H,2024-04-16T00:00:00.000Z
0.0,PT6H,2024-04-16T00:00:00.000Z
0.0,PT18H,2024-04-17T00:00:00.000Z
0.0,PT6H,2024-04-17T00:00:00.000Z
0.0,PT18H,2024-04-18T00:00:00.000Z
0.0,PT6H,2024-04-18T00:00:00.000Z
4.8,PT18H,2024-04-19T00:00:00.000Z
4.8,PT6H,2024-04-19T00:00:00.000Z
0.0,PT18H,2024-04-20T00:00:00.000Z
0.0,PT6H,2024-04-20T00:00:00.000Z
0.0,PT18H,2024-04-21T00:00:00.000Z
0.0,PT6H,2024-04-21T00:00:00.000Z
0.0,PT18H,2024-04-22T00:00:00.000Z
0.0,PT6H,2024-04-22T00:00:00.000Z
0.0,PT18H,2024-04-23T00:00:00.000Z
0.0,PT6H,2024-04-23T00:00:00.000Z
0.8,PT18H,2024-04-24T00:00:00.000Z
0.0,PT6H,2024-04-24T00:00:00.000Z
1.4,PT18H,2024-04-25T00:00:00.000Z
1.9,PT6H,2024-04-25T00:00:00.000Z
0.1,PT18H,2024-04-26T00:00:00.000Z
0.4,PT6H,2024-04-26T00:00:00.000Z
0.0,PT18H,2024-04-27T00:00:00.000Z
0.0,PT6H,2024-04-27T00:00:00.000Z
2.1,PT18H,2024-04-28T00:00:00.000Z
0.0,PT6H,2024-04-28T00:00:00.000Z
3.9,PT18H,2024-04-29T00:00:00.000Z
5.7,PT6H,2024-04-29T00:00:00.000Z
0.0,PT18H,2024-04-30T00:00:00.000Z
0.3,PT6H,2024-04-30T00:00:00.000Z
0.0,PT18H,2024-05-01T00:00:00.000Z
0.0,PT6H,2024-05-01T00:00:00.000Z
0.0,PT18H,2024-05-02T00:00:00.000Z
0.0,PT6H,2024-05-02T00:00:00.000Z
0.0,PT18H,2024-05-03T00:00:00.000Z
0.0,PT6H,2024-05-03T00:00:00.000Z
0.0,PT18H,2024-05-04T00:00:00.000Z
0.0,PT6H,2024-05-04T00:00:00.000Z
0.4,PT18H,2024-05-05T00:00:00.000Z
0.4,PT6H,2024-05-05T00:00:00.000Z
0.0,PT18H,2024-05-06T00:00:00.000Z
0.0,PT6H,2024-05-06T00:00:00.000Z
0.0,PT18H,2024-05-07T00:00:00.000Z
0.0,PT6H,2024-05-07T00:00:00.000Z
0.6,PT18H,2024-05-08T00:00:00.000Z
0.1,PT6H,2024-05-08T00:00:00.000Z
1.1,PT18H,2024-05-09T00:00:00.000Z
0.5,PT6H,2024-05-09T00:00:00.000Z
0.0,PT18H,2024-05-10T00:00:00.000Z
1.1,PT6H,2024-05-10T00:00:00.000Z
0.0,PT18H,2024-05-11T00:00:00.000Z
0.0,PT6H,2024-05-11T00:00:00.000Z
0.0,PT18H,2024-05-12T00:00:00.000Z
0.0,PT6H,2024-05-12T00:00:00.000Z
0.0,PT18H,2024-05-13T00:00:00.000Z
0.0,PT6H,2024-05-13T00:00:00.000Z
0.0,PT18H,2024-05-14T00:00:00.000Z
0.0,PT6H,2024-05-14T00:00:00.000Z
0.0,PT18H,2024-05-15T00:00:00.000Z
0.0,PT6H,2024-05-15T00:00:00.000Z
0.0,PT18H,2024-05-16T00:00:00.000Z
0.0,PT6H,2024-05-16T00:00:00.000Z
0.0,PT18H,2024-05-17T00:00:00.000Z
0.0,PT6H,2024-05-17T00:00:00.000Z
0.0,PT18H,2024-05-18T00:00:00.000Z
0.0,PT6H,2024-05-18T00:00:00.000Z
0.0,PT18H,2024-05-19T00:00:00.000Z
0.0,PT6H,2024-05-19T00:00:00.000Z
0.0,PT18H,2024-05-20T00:00:00.000Z
0.0,PT6H,2024-05-20T00:00:00.000Z
0.0,PT18H,2024-05-21T00:00:00.000Z
0.0,PT6H,2024-05-21T00:00:00.000Z
0.0,PT18H,2024-05-22T00:00:00.000Z
0.0,PT6H,2024-05-22T00:00:00.000Z
0.0,PT18H,2024-05-23T00:00:00.000Z
0.0,PT6H,2024-05-23T00:00:00.000Z
0.0,PT18H,2024-05-24T00:00:00.000Z
0.0,PT6H,2024-05-24T00:00:00.000Z
0.9,PT18H,2024-05-25T00:00:00.000Z
0.0,PT6H,2024-05-25T00:00:00.000Z
0.0,PT18H,2024-05-26T00:00:00.000Z
0.9,PT6H,2024-05-26T00:00:00.000Z
47.0,PT18H,2024-05-27T00:00:00.000Z
4.3,PT6H,2024-05-27T00:00:00.000Z
6.8,PT18H,2024-05-28T00:00:00.000Z
42.7,PT6H,2024-05-28T00:00:00.000Z
7.4,PT18H,2024-05-29T00:00:00.000Z
14.2,PT6H,2024-05-29T00:00:00.000Z
3.2,PT18H,2024-05-30T00:00:00.000Z
0.0,PT6H,2024-05-30T00:00:00.000Z
0.2,PT18H,2024-05-31T00:00:00.000Z
3.4,PT6H,2024-05-31T00:00:00.000Z
5.2,PT18H,2024-06-01T00:00:00.000Z
4.9,PT6H,2024-06-01T00:00:00.000Z
0.0,PT18H,2024-06-02T00:00:00.000Z
0.3,PT6H,2024-06-02T00:00:00.000Z
0.0,PT18H,2024-06-03T00:00:00.000Z
0.0,PT6H,2024-06-03T00:00:00.000Z
0.0,PT18H,2024-06-04T00:00:00.000Z
0.0,PT6H,2024-06-04T00:00:00.000Z
22.4,PT18H,2024-06-05T00:00:00.000Z
10.7,PT6H,2024-06-05T00:00:00.000Z
0.8,PT18H,2024-06-06T00:00:00.000Z
11.7,PT6H,2024-06-06T00:00:00.000Z
0.9,PT18H,2024-06-07T00:00:00.000Z
0.8,PT6H,2024-06-07T00:00:00.000Z
10.7,PT18H,2024-06-08T00:00:00.000Z
3.7,PT6H,2024-06-08T00:00:00.000Z
1.4,PT18H,2024-06-09T00:00:00.000Z
8.2,PT6H,2024-06-09T00:00:00.000Z
0.1,PT18H,2024-06-10T00:00:00.000Z
1.2,PT6H,2024-06-10T00:00:00.000Z
0.0,PT18H,2024-06-11T00:00:00.000Z
0.0,PT6H,2024-06-11T00:00:00.000Z
10.1,PT18H,2024-06-12T00:00:00.000Z
0.4,PT6H,2024-06-12T00:00:00.000Z
8.2,PT18H,2024-06-13T00:00:00.000Z
17.7,PT6H,2024-06-13T00:00:00.000Z
0.3,PT18H,2024-06-14T00:00:00.000Z
0.5,PT6H,2024-06-14T00:00:00.000Z
2.9,PT18H,2024-06-15T00:00:00.000Z
