,verdi,tidsforskyvning,referansetid
265,13.7,PT6H,2024-05-12T00:00:00.000Z
266,15.4,PT0H,2024-05-13T00:00:00.000Z
267,14.4,PT6H,2024-05-13T00:00:00.000Z
268,16.1,PT0H,2024-05-14T00:00:00.000Z
269,15.6,PT6H,2024-05-14T00:00:00.000Z
270,18.2,PT0H,2024-05-15T00:00:00.000Z
271,16.7,PT6H,2024-05-15T00:00:00.000Z
272,18.3,PT0H,2024-05-16T00:00:00.000Z
273,18.5,PT6H,2024-05-16T00:00:00.000Z
274,17.4,PT0H,2024-05-17T00:00:00.000Z
275,18.2,PT6H,2024-05-17T00:00:00.000Z
276,17.6,PT0H,2024-05-18T00:00:00.000Z
277,17.2,PT6H,2024-05-18T00:00:00.000Z
278,18.1,PT0H,2024-05-19T00:00:00.000Z
279,17.4,PT6H,2024-05-19T00:00:00.000Z
280,16.2,PT0H,2024-05-20T00:00:00.000Z
281,18.7,PT6H,2024-05-20T00:00:00.000Z
282,17.6,PT0H,2024-05-21T00:00:00.000Z
283,16.0,PT6H,2024-05-21T00:00:00.000Z
284,18.7,PT0H,2024-05-22T00:00:00.000Z
285,17.8,PT6H,2024-05-22T00:00:00.000Z
286,20.5,PT0H,2024-05-23T00:00:00.000Z
287,19.7,PT6H,2024-05-23T00:00:00.000Z
288,18.5,PT0H,2024-05-24T00:00:00.000Z
289,21.0,PT6H,2024-05-24T00:00:00.000Z
290,20.1,PT0H,2024-05-25T00:00:00.000Z
291,17.7,PT6H,2024-05-25T00:00:00.000Z
292,21.4,PT0H,2024-05-26T00:00:00.000Z
293,21.2,PT6H,2024-05-26T00:00:00.000Z
294,16.8,PT0H,2024-05-27T00:00:00.000Z
295,20.5,PT6H,2024-05-27T00:00:00.000Z
296,17.1,PT0H,2024-05-28T00:00:00.000Z
297,16.2,PT6H,2024-05-28T00:00:00.000Z
298,15.9,PT0H,2024-05-29T00:00:00.000Z
299,16.8,PT6H,2024-05-29T00:00:00.000Z
300,15.6,PT0H,2024-05-30T00:00:00.000Z
301,16.4,PT6H,2024-05-30T00:00:00.000Z
302,20.1,PT0H,2024-05-31T00:00:00.000Z
303,15.7,PT6H,2024-05-31T00:00:00.000Z
304,20.7,PT0H,2024-06-01T00:00:00.000Z
305,20.9,PT6H,2024-06-01T00:00:00.000Z
306,21.1,PT0H,2024-06-02T00:00:00.000Z
307,20.6,PT6H,2024-06-02T00:00:00.000Z
308,17.9,PT0H,2024-06-03T00:00:00.000Z
309,20.6,PT6H,2024-06-03T00:00:00.000Z
310,14.3,PT0H,2024-06-04T00:00:00.000Z
311,16.3,PT6H,2024-06-04T00:00:00.000Z
312,12.3,PT0H,2024-06-05T00:00:00.000Z
313,15.0,PT6H,2024-06-05T00:00:00.000Z
314,11.1,PT0H,2024-06-06T00:00:00.000Z
315,11.1,PT6H,2024-06-06T00:00:00.000Z
316,10.6,PT0H,2024-06-07T00:00:00.000Z
317,10.6,PT6H,2024-06-07T00:00:00.000Z
318,9.6,PT0H,2024-06-08T00:00:00.000Z
319,11.2,PT6H,2024-06-08T00:00:00.000Z
320,9.9,PT0H,2024-06-09T00:00:00.000Z
321,9.0,PT6H,2024-06-09T00:00:00.000Z
322,12.0,PT0H,2024-06-10T00:00:00.000Z
323,9.7,PT6H,2024-06-10T00:00:00.000Z
324,14.7,PT0H,2024-06-11T00:00:00.000Z
325,13.4,PT6H,2024-06-11T00:00:00.000Z
326,12.4,PT0H,2024-06-12T00:00:00.000Z
327,14.9,PT6H,2024-06-12T00:00:00.000Z
328,12.6,PT0H,2024-06-13T00:00:00.000Z
329,12.1,PT6H,2024-06-13T00:00:00.000Z
330,13.7,PT0H,2024-06-14T00:00:00.000Z
331,12.7,PT6H,2024-06-14T00:00:00.000Z
332,14.4,PT0H,2024-06-15T00:00:00.000Z
333,13.9,PT6H,2024-06-15T00:00:00.000Z
334,14.8,PT0H,2024-06-16T00:00:00.000Z
335,14.7,PT6H,2024-06-16T00:00:00.000Z
336,15.2,PT0H,2024-06-17T00:00:00.000Z
337,15.1,PT6H,2024-06-17T00:00:00.000Z
338,13.3,PT0H,2024-06-18T00:00:00.000Z
339,14.9,PT6H,2024-06-18T00:00:00.000Z
340,15.9,PT0H,2024-06-19T00:00:00.000Z
341,13.2,PT6H,2024-06-19T00:00:00.000Z
342,16.3,PT0H,2024-06-20T00:00:00.000Z
343,16.0,PT6H,2024-06-20T00:00:00.000Z
344,16.4,PT0H,2024-06-21T00:00:00.000Z
345,16.1,PT6H,2024-06-21T00:00:00.000Z
346,13.9,PT0H,2024-06-22T00:00:00.000Z
347,16.8,PT6H,2024-06-22T00:00:00.000Z
348,16.0,PT0H,2024-06-23T00:00:00.000Z
349,13.7,PT6H,2024-06-23T00:00:00.000Z
350,18.7,PT0H,2024-06-24T00:00:00.000Z
351,16.4,PT6H,2024-06-24T00:00:00.000Z
352,18.1,PT0H,2024-06-25T00:00:00.000Z
353,19.1,PT6H,2024-06-25T00:00:00.000Z
354,19.0,PT0H,2024-06-26T00:00:00.000Z
355,18.3,PT6H,2024-06-26T00:00:00.000Z
356,22.6,PT0H,2024-06-27T00:00:00.000Z
357,19.2,PT6H,2024-06-27T00:00:00.000Z
358,18.8,PT0H,2024-06-28T00:00:00.000Z
359,23.3,PT6H,2024-06-28T00:00:00.000Z
360,16.1,PT0H,2024-06-29T00:00:00.000Z
361,17.5,PT6H,2024-06-29T00:00:00.000Z
362,14.7,PT0H,2024-06-30T00:00:00.000Z
363,15.6,PT6H,2024-06-30T00:00:00.000Z
364,16.2,PT0H,2024-07-01T00:00:00.000Z
365,14.8,PT6H,2024-07-01T00:00:00.000Z
366,16.1,PT0H,2024-07-02T00:00:00.000Z
367,16.4,PT6H,2024-07-02T00:00:00.000Z
368,16.5,PT0H,2024-07-03T00:00:00.000Z
369,16.4,PT6H,2024-07-03T00:00:00.000Z
370,12.3,PT0H,2024-07-04T00:00:00.000Z
371,16.2,PT6H,2024-07-04T00:00:00.000Z
372,12.7,PT0H,2024-07-05T00:00:00.000Z
373,11.3,PT6H,2024-07-05T00:00:00.000Z
374,13.7,PT0H,2024-07-06T00:00:00.000Z
375,13.2,PT6H,2024-07-06T00:00:00.000Z
376,13.2,PT0H,2024-07-07T00:00:00.000Z
377,14.1,PT6H,2024-07-07T00:00:00.000Z
378,14.6,PT0H,2024-07-08T00:00:00.000Z
379,12.7,PT6H,2024-07-08T00:00:00.000Z
380,15.9,PT0H,2024-07-09T00:00:00.000Z
381,14.8,PT6H,2024-07-09T00:00:00.000Z
382,13.8,PT0H,2024-07-10T00:00:00.000Z
383,16.2,PT6H,2024-07-10T00:00:00.000Z
384,17.5,PT0H,2024-07-11T00:00:00.000Z
385,14.6,PT6H,2024-07-11T00:00:00.000Z
386,17.9,PT0H,2024-07-12T00:00:00.000Z
