Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;05.2013;12,8;0,1;26,8;14
Bergen - Florida;SN50540;06.2013;13,3;7,1;21,7;14
Oslo - Blindern;SN18700;06.2013;15;6,6;25,1;16
Bergen - Florida;SN50540;07.2013;15,6;9;26,9;16
Oslo - Blindern;SN18700;07.2013;18,4;9,5;29;5
Bergen - Florida;SN50540;08.2013;15,2;7,9;28,1;17
Oslo - Blindern;SN18700;08.2013;16,3;7,5;25,8;12
Bergen - Florida;SN50540;09.2013;12,5;3,9;20,3;17
Oslo - Blindern;SN18700;09.2013;12;0,5;23,3;7
Bergen - Florida;SN50540;10.2013;9,6;0,9;18,9;16
Oslo - Blindern;SN18700;10.2013;7,5;-1,5;19,1;12
Bergen - Florida;SN50540;11.2013;5,5;-0,8;11,9;23
Oslo - Blindern;SN18700;11.2013;2,4;-7,5;13,7;7
Bergen - Florida;SN50540;12.2013;5,7;-4,5;10,3;27
Oslo - Blindern;SN18700;12.2013;2;-8,9;8,7;18
Bergen - Florida;SN50540;01.2014;3,4;-4,5;10,9;11
Oslo - Blindern;SN18700;01.2014;-2,6;-13,5;7,4;15
Bergen - Florida;SN50540;02.2014;5,5;-3,3;12,4;20
Oslo - Blindern;SN18700;02.2014;1,9;-5;7,6;20
Bergen - Florida;SN50540;03.2014;6;0,1;17,2;17
Oslo - Blindern;SN18700;03.2014;4,3;-2,8;15,5;11
Bergen - Florida;SN50540;04.2014;8,9;0;22,3;11
Oslo - Blindern;SN18700;04.2014;7,7;-1,5;22,4;8
Bergen - Florida;SN50540;05.2014;11,4;-0,1;22,4;9
Oslo - Blindern;SN18700;05.2014;12;0,7;26,4;9
Bergen - Florida;SN50540;06.2014;14,5;7,5;26;5
Oslo - Blindern;SN18700;06.2014;15,7;8,2;27,1;7
Bergen - Florida;SN50540;07.2014;19;9,9;31,4;13
Oslo - Blindern;SN18700;07.2014;20,8;9;33,4;11
Bergen - Florida;SN50540;08.2014;15,5;9,2;25,6;22
Oslo - Blindern;SN18700;08.2014;15,8;7,6;26,4;17
Bergen - Florida;SN50540;09.2014;13,6;6,3;23;10
Oslo - Blindern;SN18700;09.2014;13,1;3,6;22,4;5
Bergen - Florida;SN50540;10.2014;10,6;1,9;19,5;22
Oslo - Blindern;SN18700;10.2014;8,9;-0,4;16,4;19
Bergen - Florida;SN50540;11.2014;7,3;0,6;17,3;15
Oslo - Blindern;SN18700;11.2014;4,1;-3,3;12,1;11
Bergen - Florida;SN50540;12.2014;3,2;-6,3;9;29
Oslo - Blindern;SN18700;12.2014;-2,2;-14,6;7;6
Bergen - Florida;SN50540;01.2015;3,4;-4,5;9,4;27
Oslo - Blindern;SN18700;01.2015;-0,3;-12,2;6,5;17
Bergen - Florida;SN50540;02.2015;3,4;-5;10,2;19
Oslo - Blindern;SN18700;02.2015;0,3;-12,8;8,4;7
Bergen - Florida;SN50540;03.2015;5,2;-2;14;21
Oslo - Blindern;SN18700;03.2015;3,5;-4,8;13,2;11
Bergen - Florida;SN50540;04.2015;6,2;-2,1;18,6;14
Oslo - Blindern;SN18700;04.2015;7,1;-2,3;22,8;5
Bergen - Florida;SN50540;05.2015;8,6;0,8;17,1;22
Oslo - Blindern;SN18700;05.2015;9;0,1;18,8;16
Bergen - Florida;SN50540;06.2015;11,4;3,7;23,9;16
Oslo - Blindern;SN18700;06.2015;14,2;5,1;24,4;11
Bergen - Florida;SN50540;07.2015;14,4;7,4;30;18
Oslo - Blindern;SN18700;07.2015;16,2;7,8;27;15
Bergen - Florida;SN50540;08.2015;16,5;8,2;27,3;18
Oslo - Blindern;SN18700;08.2015;16,5;8;25,4;9
Bergen - Florida;SN50540;09.2015;13,5;6,3;22;14
Oslo - Blindern;SN18700;09.2015;12,5;3;21,2;13
Bergen - Florida;SN50540;10.2015;9,6;2,1;18,2;15
Oslo - Blindern;SN18700;10.2015;7,2;-2,3;16,7;2
Bergen - Florida;SN50540;11.2015;6,8;-4,3;15,6;22
Oslo - Blindern;SN18700;11.2015;3,2;-7,7;12,3;11
Bergen - Florida;SN50540;12.2015;5,8;-4,6;12,3;26
Oslo - Blindern;SN18700;12.2015;2,1;-8,9;10,4;11
Bergen - Florida;SN50540;01.2016;0;-8,8;12,4;14
Oslo - Blindern;SN18700;01.2016;-5,5;-16,4;7,3;9
Bergen - Florida;SN50540;02.2016;2,1;-6;7,8;20
Oslo - Blindern;SN18700;02.2016;-0,7;-10,6;7,1;8
Bergen - Florida;SN50540;03.2016;4,9;-3;14,5;14
Oslo - Blindern;SN18700;03.2016;3,1;-3,6;15,7;9
Bergen - Florida;SN50540;04.2016;6,2;-0,7;14,9;14
Oslo - Blindern;SN18700;04.2016;5,9;-1,8;14,4;12
Bergen - Florida;SN50540;05.2016;12,2;4,1;25,1;10
Oslo - Blindern;SN18700;05.2016;12,3;0,8;26,4;9
Bergen - Florida;SN50540;06.2016;15,3;6,9;27,8;10
Oslo - Blindern;SN18700;06.2016;16,7;6,1;29,1;8
Bergen - Florida;SN50540;07.2016;14,7;9,3;27,8;20
Oslo - Blindern;SN18700;07.2016;17,2;8,4;27,8;12
Bergen - Florida;SN50540;08.2016;14,2;6,7;24,5;20
Oslo - Blindern;SN18700;08.2016;15,5;6,6;23,8;12
Bergen - Florida;SN50540;09.2016;15,2;7,9;27,6;15
Oslo - Blindern;SN18700;09.2016;15;5;23,4;6
Bergen - Florida;SN50540;10.2016;8,3;1,3;17,7;8
Oslo - Blindern;SN18700;10.2016;6,1;0;15;4
Bergen - Florida;SN50540;11.2016;4;-6,4;11,6;20
Oslo - Blindern;SN18700;11.2016;0,7;-8,1;9,1;13
Bergen - Florida;SN50540;12.2016;6,1;-1,3;11,3;26
Oslo - Blindern;SN18700;12.2016;0,9;-8,3;11,5;3
Bergen - Florida;SN50540;01.2017;3,6;-6,5;9,4;22
Oslo - Blindern;SN18700;01.2017;-1,4;-12,6;5,5;5
Bergen - Florida;SN50540;02.2017;3;-6,7;12,1;12
Oslo - Blindern;SN18700;02.2017;-1,5;-9,5;5,4;11
Bergen - Florida;SN50540;03.2017;4,7;-3,3;13;21
Oslo - Blindern;SN18700;03.2017;2,6;-5,7;20;8
Bergen - Florida;SN50540;04.2017;6,2;-0,9;13,4;23
Oslo - Blindern;SN18700;04.2017;5,2;-4,4;17,6;7
Bergen - Florida;SN50540;05.2017;12,2;2,2;24,3;9
Oslo - Blindern;SN18700;05.2017;11,6;0,2;23,9;11
Bergen - Florida;SN50540;06.2017;13,4;5,2;25,7;23
Oslo - Blindern;SN18700;06.2017;15,1;3,5;25,6;14
Bergen - Florida;SN50540;07.2017;14,9;8;27,8;18
Oslo - Blindern;SN18700;07.2017;16,9;7;27,3;8
Bergen - Florida;SN50540;08.2017;14,3;8,1;23,3;21
Oslo - Blindern;SN18700;08.2017;15,3;6,9;23,6;14
Bergen - Florida;SN50540;09.2017;13,8;7,1;23,4;14
Oslo - Blindern;SN18700;09.2017;12,2;6,6;18,9;10
Bergen - Florida;SN50540;10.2017;9,6;2,4;17;24
Oslo - Blindern;SN18700;10.2017;7,2;-1,3;16,9;13
Bergen - Florida;SN50540;11.2017;4,5;-4,6;11,8;24
Oslo - Blindern;SN18700;11.2017;1,6;-7,4;10,9;11
Bergen - Florida;SN50540;12.2017;3,3;-5,5;10,3;22
Oslo - Blindern;SN18700;12.2017;-1,5;-10,4;8,4;9
Bergen - Florida;SN50540;01.2018;2,7;-5;9,9;19
Oslo - Blindern;SN18700;01.2018;-1,7;-11,7;5,6;17
Bergen - Florida;SN50540;02.2018;0,9;-9;6,1;16
Oslo - Blindern;SN18700;02.2018;-4,1;-15,9;2;11
Bergen - Florida;SN50540;03.2018;0,8;-12;8,9;12
Oslo - Blindern;SN18700;03.2018;-2,3;-14,2;10;3
Bergen - Florida;SN50540;04.2018;7,5;-5,3;20,2;15
Oslo - Blindern;SN18700;04.2018;6,5;-6,1;17,8;7
Bergen - Florida;SN50540;05.2018;14,7;5,2;31,2;8
Oslo - Blindern;SN18700;05.2018;16,1;1,5;31,1;4
Bergen - Florida;SN50540;06.2018;14,6;7,2;28,5;11
Oslo - Blindern;SN18700;06.2018;17,9;6,2;31,9;4
Bergen - Florida;SN50540;07.2018;17,3;9,6;32,2;10
Oslo - Blindern;SN18700;07.2018;22,2;10,6;34,6;5
Bergen - Florida;SN50540;08.2018;14,5;7,2;22,7;22
Oslo - Blindern;SN18700;08.2018;16,3;5,9;28,5;12
Bergen - Florida;SN50540;09.2018;12;4;23,2;23
Oslo - Blindern;SN18700;09.2018;12,5;-0,2;22,2;10
Bergen - Florida;SN50540;10.2018;8,4;-2,9;23,8;23
Oslo - Blindern;SN18700;10.2018;7,4;-2,2;17,8;7
Bergen - Florida;SN50540;11.2018;6,7;-4,3;16,9;12
Oslo - Blindern;SN18700;11.2018;3,4;-9,4;11,5;12
Bergen - Florida;SN50540;12.2018;4,2;-3,9;10;17
Oslo - Blindern;SN18700;12.2018;-1,2;-11,9;7,2;15
Bergen - Florida;SN50540;01.2019;2,6;-5,2;9,7;22
Oslo - Blindern;SN18700;01.2019;-2,8;-14,1;10,4;9
Bergen - Florida;SN50540;02.2019;5,3;-3,4;13,5;18
Oslo - Blindern;SN18700;02.2019;0,5;-12,6;11,1;12
Bergen - Florida;SN50540;03.2019;4,6;-3,7;10,1;25
Oslo - Blindern;SN18700;03.2019;2,3;-8,6;15,5;12
Bergen - Florida;SN50540;04.2019;9,8;-0,9;21,7;2
Oslo - Blindern;SN18700;04.2019;8,7;-4,5;24,3;2
Bergen - Florida;SN50540;05.2019;9,4;0,6;24,3;15
Oslo - Blindern;SN18700;05.2019;10,4;-1,8;24,8;9
Bergen - Florida;SN50540;06.2019;14,1;7,4;28,1;17
Oslo - Blindern;SN18700;06.2019;15,4;6,8;28;13
Bergen - Florida;SN50540;07.2019;16,2;6,2;33,4;14
Oslo - Blindern;SN18700;07.2019;17,9;9,2;31,7;10
Bergen - Florida;SN50540;08.2019;16,4;8,5;27,8;21
Oslo - Blindern;SN18700;08.2019;16,8;8,5;27,6;14
Bergen - Florida;SN50540;09.2019;11,6;3,5;22,3;18
Oslo - Blindern;SN18700;09.2019;11,4;2,6;22,5;12
Bergen - Florida;SN50540;10.2019;8;0,8;15,3;20
Oslo - Blindern;SN18700;10.2019;5,4;-2,9;14,1;15
Bergen - Florida;SN50540;11.2019;3;-4,7;11,7;7
Oslo - Blindern;SN18700;11.2019;1;-7,2;6,9;16
Bergen - Florida;SN50540;12.2019;5;-2,2;14,2;24
Oslo - Blindern;SN18700;12.2019;0,4;-7,9;8,3;15
Bergen - Florida;SN50540;01.2020;5,5;-0,7;10,3;29
Oslo - Blindern;SN18700;01.2020;2,7;-5,7;9;10
Bergen - Florida;SN50540;02.2020;4;-1,7;9;26
Oslo - Blindern;SN18700;02.2020;1,9;-7,5;9,3;7
Bergen - Florida;SN50540;03.2020;4,7;-2,8;9,3;22
Oslo - Blindern;SN18700;03.2020;3;-6,4;12,2;9
Bergen - Florida;SN50540;04.2020;7,2;-1,5;20,4;13
Oslo - Blindern;SN18700;04.2020;7,3;-2,7;21,9;3
Bergen - Florida;SN50540;05.2020;9;0,6;24,5;18
Oslo - Blindern;SN18700;05.2020;10,2;-1,7;25,1;9
Bergen - Florida;SN50540;06.2020;17,5;6,2;30,3;8
Oslo - Blindern;SN18700;06.2020;18,8;8,6;30,9;7
Bergen - Florida;SN50540;07.2020;13,6;6,1;23,4;25
Oslo - Blindern;SN18700;07.2020;15,1;7,1;25,9;18
Bergen - Florida;SN50540;08.2020;16,4;7,2;29,4;16
Oslo - Blindern;SN18700;08.2020;17,2;5,4;28,7;8
Bergen - Florida;SN50540;09.2020;12,3;5,2;19,6;21
Oslo - Blindern;SN18700;09.2020;12,8;4,1;23,2;10
Bergen - Florida;SN50540;10.2020;9,9;1,3;21;15
Oslo - Blindern;SN18700;10.2020;8,1;-1,1;16,1;17
Bergen - Florida;SN50540;11.2020;7,9;0;15,2;23
Oslo - Blindern;SN18700;11.2020;5,2;-5,2;16,1;10
Bergen - Florida;SN50540;12.2020;5,2;-2,9;12,2;18
Oslo - Blindern;SN18700;12.2020;2,2;-3,4;7,7;22
Bergen - Florida;SN50540;01.2021;-0,8;-7,6;9,3;13
Oslo - Blindern;SN18700;01.2021;-4,7;-14,5;4,5;8
Bergen - Florida;SN50540;02.2021;0,6;-11,6;11,6;12
Oslo - Blindern;SN18700;02.2021;-3,2;-14,1;12,4;6
Bergen - Florida;SN50540;03.2021;4,9;-2,9;11,5;19
Oslo - Blindern;SN18700;03.2021;3,1;-5,5;18,6;5
Bergen - Florida;SN50540;04.2021;5,6;-2,8;19,1;11
Oslo - Blindern;SN18700;04.2021;5,7;-3,5;18,2;3
Bergen - Florida;SN50540;05.2021;11;1,1;21,6;10
Oslo - Blindern;SN18700;05.2021;10,6;0,3;26;15
Bergen - Florida;SN50540;06.2021;15,1;9,1;25,6;12
Oslo - Blindern;SN18700;06.2021;17,3;6,9;26;5
Bergen - Florida;SN50540;07.2021;17,2;9;28,8;14
Oslo - Blindern;SN18700;07.2021;19,9;11,5;30,2;11
Bergen - Florida;SN50540;08.2021;15,5;8,1;26;7
Oslo - Blindern;SN18700;08.2021;16,4;8,2;25,3;4
Bergen - Florida;SN50540;09.2021;14;6,5;22,4;12
Oslo - Blindern;SN18700;09.2021;13,2;5;26;7
Bergen - Florida;SN50540;10.2021;9,8;-0,3;16,4;29
Oslo - Blindern;SN18700;10.2021;8,7;-1,9;14,8;12
Bergen - Florida;SN50540;11.2021;6;-6,5;13,4;22
Oslo - Blindern;SN18700;11.2021;2,7;-8,8;15,1;8
Bergen - Florida;SN50540;12.2021;2,7;-5,5;9,8;11
Oslo - Blindern;SN18700;12.2021;-3;-12,3;8,2;10
Bergen - Florida;SN50540;01.2022;4,3;-2,7;9,9;24
Oslo - Blindern;SN18700;01.2022;-0,2;-9,6;12,4;4
Bergen - Florida;SN50540;02.2022;3,3;-2,3;8,9;25
Oslo - Blindern;SN18700;02.2022;0,3;-9,2;8,7;9
Bergen - Florida;SN50540;03.2022;6,3;-2,4;14,9;10
Oslo - Blindern;SN18700;03.2022;2,8;-6,7;15,3;1
Bergen - Florida;SN50540;04.2022;7,2;-2,8;20,6;8
Oslo - Blindern;SN18700;04.2022;6,4;-5,9;19,7;2
Bergen - Florida;SN50540;05.2022;10,3;1,5;22;17
Oslo - Blindern;SN18700;05.2022;11,4;1,7;19,5;10
Bergen - Florida;SN50540;06.2022;14,3;7,9;29,9;16
Oslo - Blindern;SN18700;06.2022;16,7;6,3;28,1;11
Bergen - Florida;SN50540;07.2022;14,2;7,5;28,7;19
Oslo - Blindern;SN18700;07.2022;17,5;7,2;27,7;8
Bergen - Florida;SN50540;08.2022;15,6;9;26,6;15
Oslo - Blindern;SN18700;08.2022;17,3;7,2;28,5;8
Bergen - Florida;SN50540;09.2022;12,9;4,1;23,5;9
Oslo - Blindern;SN18700;09.2022;12;2,8;21,5;7
Bergen - Florida;SN50540;10.2022;9,9;1,2;15,3;22
Oslo - Blindern;SN18700;10.2022;8;-0,4;17,1;15
Bergen - Florida;SN50540;11.2022;7,8;-4,2;16,7;15
Oslo - Blindern;SN18700;11.2022;4,8;-2,1;15,1;15
Bergen - Florida;SN50540;12.2022;0,7;-9;8,9;16
Oslo - Blindern;SN18700;12.2022;-3,6;-14,6;6,5;12
Bergen - Florida;SN50540;01.2023;3;-5,8;9,5;20
Oslo - Blindern;SN18700;01.2023;-1,1;-13,4;7,2;15
Bergen - Florida;SN50540;02.2023;4,5;-2,4;10;19
Oslo - Blindern;SN18700;02.2023;0,4;-9,4;10,2;6
Bergen - Florida;SN50540;03.2023;2,3;-9,7;13,1;17
Oslo - Blindern;SN18700;03.2023;-0,5;-12,6;9,8;12
Bergen - Florida;SN50540;04.2023;7,6;-1,5;19,3;7
Oslo - Blindern;SN18700;04.2023;6,1;-4,7;19,8;13
Bergen - Florida;SN50540;05.2023;9,7;1,3;19,7;15
Oslo - Blindern;SN18700;05.2023;11,9;-0,8;24,2;4
Bergen - Florida;SN50540;06.2023;16,2;6,8;27,3;4
Oslo - Blindern;SN18700;06.2023;19;4,6;31,8;5
Bergen - Florida;SN50540;07.2023;15,4;8,9;27,7;21
Oslo - Blindern;SN18700;07.2023;16,3;8,6;28,4;20
Bergen - Florida;SN50540;08.2023;15,3;8,3;25,9;18
Oslo - Blindern;SN18700;08.2023;16,2;9,8;24,5;20
Bergen - Florida;SN50540;09.2023;13,9;6,4;24,7;22
Oslo - Blindern;SN18700;09.2023;14,4;5,3;25,1;12
Bergen - Florida;SN50540;10.2023;7,4;-2;15,3;16
Oslo - Blindern;SN18700;10.2023;5,4;-2;17,1;7
Bergen - Florida;SN50540;11.2023;3,6;-4,8;13,4;8
Oslo - Blindern;SN18700;11.2023;-0,4;-10,4;6,5;11
Bergen - Florida;SN50540;12.2023;1,6;-6,5;10,9;17
Oslo - Blindern;SN18700;12.2023;-4,6;-15,1;9,1;10
Bergen - Florida;SN50540;01.2024;1;-9,3;9,3;17
Oslo - Blindern;SN18700;01.2024;-5,6;-23,1;8,7;11
Bergen - Florida;SN50540;02.2024;3;-7,7;9,3;23
Oslo - Blindern;SN18700;02.2024;-0,9;-15,2;10,9;11
Bergen - Florida;SN50540;03.2024;5,6;-2,7;13,3;16
Oslo - Blindern;SN18700;03.2024;2,7;-4,7;12,2;15
Bergen - Florida;SN50540;04.2024;7,3;-0,9;19,2;13
Oslo - Blindern;SN18700;04.2024;5,8;-3,6;19;12
Bergen - Florida;SN50540;05.2024;16;7,1;27,3;10
Oslo - Blindern;SN18700;05.2024;16,1;6;27,2;5
Bergen - Florida;SN50540;06.2024;13,3;5,8;28,1;19
Oslo - Blindern;SN18700;06.2024;15,2;4,4;28,3;16
Bergen - Florida;SN50540;07.2024;15,7;7,8;26,7;14
Oslo - Blindern;SN18700;07.2024;16,9;8,7;27;18
Bergen - Florida;SN50540;08.2024;15;8,3;23,2;26
Oslo - Blindern;SN18700;08.2024;16,2;7,2;24,9;13
Bergen - Florida;SN50540;09.2024;12,9;2,9;28,6;13
Oslo - Blindern;SN18700;09.2024;13,2;0,1;27,2;12
Bergen - Florida;SN50540;10.2024;10,2;2,1;19,3;18
Oslo - Blindern;SN18700;10.2024;8,3;-1;15,5;10
Bergen - Florida;SN50540;11.2024;5,8;-5,9;12,4;19
Oslo - Blindern;SN18700;11.2024;2,5;-9,2;14,9;3
Bergen - Florida;SN50540;12.2024;5;-2,3;11,5;25
Oslo - Blindern;SN18700;12.2024;1,1;-6,7;9,1;13
Bergen - Florida;SN50540;01.2025;2;-8,8;9,4;16
Oslo - Blindern;SN18700;01.2025;-1,6;-14,2;6,8;9
Bergen - Florida;SN50540;02.2025;3,1;-7,3;12,5;13
Oslo - Blindern;SN18700;02.2025;-1,2;-13,1;8,8;8
Bergen - Florida;SN50540;03.2025;5,3;-2,6;11,1;13
Oslo - Blindern;SN18700;03.2025;3;-7,2;16,7;1
Data er gyldig per 20.03.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;;;;
