Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;02.1987;-4,3;-15;6,7;5
Bergen - Florida;SN50540;03.1987;1,3;-6,2;7,4;11
Oslo - Blindern;SN18700;03.1987;-4;-20,2;9,3;11
Bergen - Florida;SN50540;04.1987;7,5;-0,9;18;12
Oslo - Blindern;SN18700;04.1987;5,3;-2,7;21,4;5
Bergen - Florida;SN50540;05.1987;9;1,8;21,7;12
Oslo - Blindern;SN18700;05.1987;9,2;1,6;26,2;9
Bergen - Florida;SN50540;06.1987;11,4;5,4;18,5;13
Oslo - Blindern;SN18700;06.1987;12,1;6,5;25;19
Bergen - Florida;SN50540;07.1987;15;6,9;27,1;11
Oslo - Blindern;SN18700;07.1987;16,4;6,9;29,9;11
Bergen - Florida;SN50540;08.1987;13,6;5,9;21,4;18
Oslo - Blindern;SN18700;08.1987;13,1;3,7;23,1;12
Bergen - Florida;SN50540;09.1987;10,8;2,1;19,7;21
Oslo - Blindern;SN18700;09.1987;9,8;1,1;19,6;14
Bergen - Florida;SN50540;10.1987;10,4;3,7;18,6;18
Oslo - Blindern;SN18700;10.1987;7,7;0;14,3;14
Bergen - Florida;SN50540;11.1987;5;-3,8;9,9;19
Oslo - Blindern;SN18700;11.1987;0,5;-9,9;7;13
Bergen - Florida;SN50540;12.1987;3,9;-6,3;10,2;20
Oslo - Blindern;SN18700;12.1987;-2,6;-14,1;8,4;6
Bergen - Florida;SN50540;01.1988;3,9;-2,5;9,2;18
Oslo - Blindern;SN18700;01.1988;0,6;-8,2;5,8;24
Bergen - Florida;SN50540;02.1988;3,2;-5,8;11,9;17
Oslo - Blindern;SN18700;02.1988;-1,3;-12,5;3,9;18
Bergen - Florida;SN50540;03.1988;2,2;-7,4;9,6;13
Oslo - Blindern;SN18700;03.1988;-1,3;-12;6,4;13
Bergen - Florida;SN50540;04.1988;4,5;-2,7;14,6;16
Oslo - Blindern;SN18700;04.1988;3,4;-5,2;14,7;4
Bergen - Florida;SN50540;05.1988;11,8;3,7;24,2;14
Oslo - Blindern;SN18700;05.1988;12,1;1,2;27,7;5
Bergen - Florida;SN50540;06.1988;14,2;7,6;23,7;4
Oslo - Blindern;SN18700;06.1988;18,6;8,8;32,2;7
Bergen - Florida;SN50540;07.1988;15,4;10,2;25,1;19
Oslo - Blindern;SN18700;07.1988;16,2;9,5;25,5;20
Bergen - Florida;SN50540;08.1988;14,4;7,5;24,9;16
